case_id,query,source_index,chunk_id,classification,source_content
curriculum-total-credits,"What is the total number of credits required to graduate from the Computer Engineering program, and how are they distributed across Core, Elective, and General Education categories?",0,ocr_document_74add144-42aa-4702-bd70-b6e4de1eb430_0_0,TP,"# โครงสร้างหลักสูตรและเงื่อนไขการสำเร็จการศึกษา (Curriculum Structure & Graduation Requirements)

ในการเรียนจบหลักสูตร นักศึกษาจะต้องเรียนและเก็บสะสมหน่วยกิตให้ครบถ้วนตลอดหลักสูตรจำนวนรวมทั้งสิ้น **136 หน่วยกิต** โดยมีโครงสร้างการจำแนกหมวดวิชาและจำนวนหน่วยกิต ดังนี้:

## 1. หมวดวิชาศึกษาทั่วไป (30 หน่วยกิต)
* **วิชาพื้นฐาน:** 6 หน่วยกิต
* **วิชาด้านภาษาและการสื่อสาร:** 9 หน่วยกิต
* **วิชาตามเกณฑ์ของคณะ:** 9 หน่วยกิต
* **วิชาเลือก:** 6 หน่วยกิต

## 2. หมวดวิชาเฉพาะ (100 หน่วยกิต)
หมวดวิชาเฉพาะแบ่งออกเป็นกลุ่มย่อย ดังนี้:

### 2.1 วิชาแกน (30 หน่วยกิต)
* **วิชาแกนทางคณิตศาสตร์ (12 หน่วยกิต):** ตัวอย่างรายวิชา เช่น 
  * 01076140 แคลคูลัส 1 (CALCULUS 1)
  * 01076141 แคลคูลัส 2 (CALCULUS 2)
  * 01076032 สมการอนุพันธ์และพีชคณิตเชิงเส้นพื้นฐาน (ELEMENTARY DIFFERENTIAL EQUATIONS AND LINEAR ALGEBRA)
  * 01076253 ความน่าจะเป็นและสถิติ (PROBABILITY AND STATISTICS)
* **วิชาแกนทางวิศวกรรม (18 หน่วยกิต):** ตัวอย่างรายวิชา เช่น 
  * 01076101 วิศวกรรมคอมพิวเตอร์เบื้องต้น (INTRODUCTION TO COMPUTER ENGINEERING)
  * 01076103 พื้นฐานการเขียนโปรแกรมคอมพิวเตอร์ (PROGRAMMING FUNDAMENTAL)
  * 01076107 วงจรไฟฟ้าและอิเล็กทรอนิกส์ (CIRCUITS AND ELECTRONICS)
  * 01076011 ระบบปฏิบัติการ (OPERATING SYSTEMS)
  * 01076012 โครงสร้างแบบดิสครีต (DISCRETE STRUCTURE)

### 2.2 วิชาเฉพาะด้าน (52 หน่วยกิต)
* **วิชาบังคับ (43 หน่วยกิต):** ตัวอย่างรายวิชา เช่น 
  * 01076263 ระบบฐานข้อมูล (DATABASE SYSTEMS)
  * 01076105 การเขียนโปรแกรมเชิงวัตถุ (OBJECT ORIENTED PROGRAMMING)
  * 01076034 หลักการของกระบวนการพัฒนาซอฟต์แวร์ (PRINCIPLES OF SOFTWARE DEVELOPMENT PROCESS)
  * 01076119 การพัฒนาโปรแกรมบนเว็บ (WEB APPLICATION DEVELOPMENT)
  * 01076121 ทฤษฎีการคำนวณ (THEORY OF COMPUTATION)
  * 01076116 เครือข่ายคอมพิวเตอร์ (COMPUTER NETWORKS)
* **วิชาบังคับเลือก (9 หน่วยกิต):** เลือกเรียนอย่างน้อย 1 แขนงวิชาชีพ ตัวอย่างรายวิชาตามแขนง เช่น
  * แขนงสมองกลฝังตัวฯ: 01076052 ระบบสมองกลฝังตัวแบบเรียลไทม์ (REAL-TIME EMBEDDED SYSTEMS), 01076053 อินเทอร์เน็ตในทุกสิ่งและระบบอัจฉริยะ (INTERNET OF THINGS AND SMART SYSTEMS)
  * แขนงการพัฒนาซอฟต์แวร์: 01076035 กระบวนการพัฒนาซอฟต์แวร์เชิงปฏิบัติ (SOFTWARE DEVELOPMENT PROCESS IN PRACTICE), 01076036 การออกแบบประสบการณ์และส่วนติดต่อผู้ใช้ (USER EXPERIENCE AND USER INTERFACE DESIGN)
  * แขนงโครงสร้างพื้นฐานฯ: 01076042 ความมั่นคงข้อมูลและคอมพิวเตอร์ (INFORMATION AND COMPUTER SECURITY), 01076043 สถาปัตยกรรมคลาวด์เบื้องต้น (INTRODUCTION TO CLOUD ARCHITECTURE)

### 2.3 วิชาการศึกษาทางเลือก (6 หน่วยกิต)
เลือกเรียนแนวทางใดแนวทางหนึ่ง (1 แนวทาง จำนวน 6 หน่วยกิต) ได้แก่:
1. การศึกษาเชิงปฏิบัติการ: 01076311 โครงงาน 1 (PROJECT 1) และ 01076312 โครงงาน 2 (PROJECT 2)
2. สหกิจศึกษา: 01006029 สหกิจศึกษา (CO-OPERATIVE EDUCATION)
3. การปฏิบัติการฝึกงานต่างประเทศ: 01006005 การปฏิบัติการฝึกงานต่างประเทศ (OVERSEA TRAINING)

### 2.4 วิชาเลือกเฉพาะสาขา (12 หน่วยกิต)
เลือกลงทะเบียนรวมไม่น้อยกว่า 12 หน่วยกิต ตัวอย่างรายวิชา เช่น:
* 01076411 การพัฒนาหุ่นยนต์ขนาดเล็ก (MICRO ROBOT DEVELOPMENT)
* 01076513 การสร้างคอมไพเลอร์ (COMPILER CONSTRUCTION)
* 01076574 ดาต้าแวร์เฮาส์ (DATA WAREHOUSE)
* 01076585 เหมืองข้อมูล (DATA MINING)
* 01076634 สถาปัตยกรรมข้อมูลขนาดใหญ่ (BIG DATA ARCHITECTURE)
* 01076567 การประมวลผลภาพ (IMAGE PROCESSING)
* 01076532 การเรียนรู้ของเครื่อง (MACHINE LEARNING)
* 01076582 ปัญญาประดิษฐ์ (ARTIFICIAL INTELLIGENCE)
* 01076629 การทดสอบเจาะระบบและการแฮกแบบมีจริยธรรมเบื้องต้น (BASIC PENETRATION TESTING AND ETHICAL HACKING)

## 3. หมวดวิชาเลือกเสรี (6 หน่วยกิต)
นักศึกษาสามารถเลือกเรียนรายวิชาในสถาบันฯ จำนวนไม่น้อยกว่า 6 หน่วยกิต

---
## ความหมายของรหัสประจำรายวิชา
รหัสวิชาประกอบด้วยตัวเลข 8 หลัก ดังนี้:
* หลักที่ 1, 2: 01 หมายถึง คณะวิศวกรรมศาสตร์ / 90 หมายถึง หมวดวิชาศึกษาทั่วไป
* หลักที่ 3, 4: 07 หมายถึง วิชาในสาขาวิศวกรรมคอมพิวเตอร์
* หลักที่ 5: 6 หมายถึง หลักสูตรในระดับปริญญาตรี
* หลักที่ 6, 7, 8: หมายถึง ลำดับที่ของวิชา"
curriculum-total-credits,"What is the total number of credits required to graduate from the Computer Engineering program, and how are they distributed across Core, Elective, and General Education categories?",1,ocr_document_74add144-42aa-4702-bd70-b6e4de1eb430_1_1,FP,"อบเจาะระบบและการแฮกแบบมีจริยธรรมเบื้องต้น (BASIC PENETRATION TESTING AND ETHICAL HACKING)

## 3. หมวดวิชาเลือกเสรี (6 หน่วยกิต)
นักศึกษาสามารถเลือกเรียนรายวิชาในสถาบันฯ จำนวนไม่น้อยกว่า 6 หน่วยกิต

---
## ความหมายของรหัสประจำรายวิชา
รหัสวิชาประกอบด้วยตัวเลข 8 หลัก ดังนี้:
* หลักที่ 1, 2: 01 หมายถึง คณะวิศวกรรมศาสตร์ / 90 หมายถึง หมวดวิชาศึกษาทั่วไป
* หลักที่ 3, 4: 07 หมายถึง วิชาในสาขาวิศวกรรมคอมพิวเตอร์
* หลักที่ 5: 6 หมายถึง หลักสูตรในระดับปริญญาตรี
* หลักที่ 6, 7, 8: หมายถึง ลำดับที่ของวิชา

---
**หมายเหตุสำคัญสำหรับการสำเร็จการศึกษา (Graduation Note):** ข้อมูลข้างต้นระบุเฉพาะเงื่อนไขด้าน ""โครงสร้างหน่วยกิตและรายวิชา"" ที่ต้องเรียนให้ครบตามหลักสูตรเท่านั้น ข้อมูลนี้ยังไม่ได้รวมถึงเกณฑ์การสำเร็จการศึกษาอื่นๆ ของทางสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง เช่น เกรดเฉลี่ยสะสมขั้นต่ำ หรือการสอบวัดระดับต่างๆ หากต้องการทราบเงื่อนไขที่สมบูรณ์ โปรดตรวจสอบระเบียบการเพิ่มเติม"
curriculum-ge-vs-free-elective,Compare the credit requirements for the 'General Education' category versus the 'Free Elective' category. Are there specific constraints on which courses qualify for each?,0,course_036,FP,"01076114 COMPUTER ORGANIZATION AND ARCHITECTURE PREREQUISITE: 01076112 DIGITAL SYSTEM FUNDAMENTALS Overview of Computer Architecture and Organization; Data Representation, Memory Allocation and Access; Central Processing Unit; Assembly Programming and Instruction Set Architecture. High -level Software to Low -level Instructions; Memory Hierarchy; Data Transfer and InputOutput (IO) Techniques; Computer Arithmetic; Measuring system performance; Towards higher speed."
curriculum-ge-vs-free-elective,Compare the credit requirements for the 'General Education' category versus the 'Free Elective' category. Are there specific constraints on which courses qualify for each?,1,course_086,FP,01006029 COOPERATIVE EDUCATION PREREQUISITE: NONE The students participate in the cooperative work with industrial partners at least 16 weeks. Approval and evaluation by the department committee is required.
curriculum-ge-vs-free-elective,Compare the credit requirements for the 'General Education' category versus the 'Free Elective' category. Are there specific constraints on which courses qualify for each?,2,course_110,FP,01076596 SYSTEM REQUIREMENTS ENGINEERING PREREQUISITE: 01076034 PRINCIPLES OF SOFTWARE DEVELOPMENT PROCESS Introduction to requirements engineering techniques for software- intensive systems. Requirements Modeling. Requirements Elicitation. Software Requirements Specification (SRS) document. Requirements Representation (Formal and Informal). Requirements Validation
curriculum-ge-vs-free-elective,Compare the credit requirements for the 'General Education' category versus the 'Free Elective' category. Are there specific constraints on which courses qualify for each?,3,course_098,FP,01076414 INTRODUCTION TO AUTONOMOUS VEHICLE PREREQUISITE: 01076112 DIGITAL SYSTEM FUNDAMENTALS Introduction to Autonomy; Hardware and Software Architecture; Visual Perception; State Estimation and Localization; Motion Planning; Machine Learning for Autonomous Vehicle
curriculum-ge-vs-free-elective,Compare the credit requirements for the 'General Education' category versus the 'Free Elective' category. Are there specific constraints on which courses qualify for each?,4,course_088,FP,01006005 OVERSEA TRAINING PREREQUISITE: NONE Students enroll in the oversea training course to train and conduct special projects relating to their academic background. The training may occur in an institute or an industry that can be either public or private. Any related issue should conform to the proclamation from the Faculty of Engineering.
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,0,course_001,FP,"01076140 แคลคูลัส 1 วิชาบังคับก่อน: ไม่มี ฟังก์ชัน, ลิมิต, ความต่อเนื่อง และการประยุกต์ใช้ อุปนัยเชิงคณิตศาสตร์ แนะนำอนุพันธ์ การหาอนุพันธ์ การประยุกต์ใช้อนุพันธ์ ปริพันธ์จำกัดเขต การปริพันธ์ด้วยปฏิยานุพันธ์ การประยุกต์ใช้ ปริพันธ์จำกัดเขต รูปแบบของการปริพันธ์ที่หาค่าไม่ได้ ปริพันธ์ไม่ตรงแบบ การหาปริพันธ์ด้วยวิธีเชิง ตัวเลข อันดับและอนุกรมของจำนวน การกระจายอนุกรมเทเลอร์ของฟังก์ชันพื้นฐาน การวิเคราะห์เวกเตอร์"
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,1,course_003,FP,01076141 แคลคูลัส 2 วิชาบังคับก่อน : 01076040 แคลคูลัส 1 ฟังก์ชันหลายตัวแปรและการประยุกต์ใช้ พีชคณิตของเวกเตอร์ในสามมิติ พิกัดเชิงขั้ว แคลคูลัสของฟังก์ชันจำนวนจริงสองตัวแปร การหาอนุพันธ์และปริพันธ์ของฟังก์ชันจำนวนจริงและฟังก์ชัน เวกเตอร์จำนวนจริงหลายตัวแปร แนะนำปริพันธ์เส้น เส้น ระนาบ และพื้นผิว ในปริภูมิสามมิติ แคลคูลัสของฟังก์ชันจำนวนจริงในปริภูมิสามมิติ ทฤษฎีบทหลักที่เกี่ยวกับการประยุกต์ เช่น ทฤษฎีบทของกรีน ทฤษฎีไดเวอร์เจนซ์ ทฤษฎีบทของเกาส์ ทฤษฎีบทของสโตกส์ เป็นต้น
curriculum-thai-ge,หมวดวิชาศึกษาทั่วไป (General Education) ตามหลักสูตรปัจจุบัน บังคับเก็บทั้งหมดกี่หน่วยกิต และแบ่งเป็นกลุ่มวิชาย่อยอย่างไรบ้าง?,2,course_005,FP,01076032 สมการอนุพันธ์และพีชคณิตเชิงเส้นพื้นฐาน วิชาบังคับก่อน: ไม่มี ระบบสมการและการแปลงเชิงเส้น เวกเตอร์และสเปซ เมตริกซ์ ผลเฉลยของสมการเชิง เส้นโดยวิธีเมตริกซ์ ฐาน ฐานตั้งฉากและการประยุกต์ใช้งาน การแปลงลาปลาซ การแปลงแซด การแปลงฟูริเยร์ ฯ ฟังก์ชันเชิงซ้อนและการแปลง แนะนําสมการเชิงอนุพันธ์และการประยุกต์ใช้ สมการอนุพันธ์เชิงเส้นและไม่เชิงเส้น สมการเชิงอนุพันธ์สามัญ การประยุกต์สมการเชิงอนุพันธ์สามัญกับปัญหาทางวิศวกรรม ปัญหาค่าเริ่มต้น
