case_id,query,duration_before_stream_sec,duration_until_finish_sec,stream_duration_sec,content,sources
curriculum-total-credits,"What is the total number of credits required to graduate from the Computer Engineering program, and how are they distributed across Core, Elective, and General Education categories?",10.420,28.190,17.769,"The total number of credits required to graduate from the **Computer Engineering program** at **KMITL** is **136 credits**, distributed as follows:

### 1. **หมวดวิชาศึกษาทั่วไป (General Education)** – **30 credits**
- **วิชาพื้นฐาน (Basic Courses):** 6 credits  
- **วิชาด้านภาษาและการสื่อสาร (Language & Communication):** 9 credits  
- **วิชาตามเกณฑ์ของคณะ (Faculty Requirements):** 9 credits  
- **วิชาเลือก (Elective):** 6 credits  

### 2. **หมวดวิชาเฉพาะ (Core & Specialized Courses)** – **100 credits**
This category is further divided into subcategories:

#### 2.1 **วิชาแกน (Core Courses)** – **30 credits**
- **Mathematics Core (12 credits):**  
  - **01076140** แคลคูลัส 1 (CALCULUS 1)  
  - **01076141** แคลคูลัส 2 (CALCULUS 2)  
  - **01076032** สมการอนุพันธ์และพีชคณิตเชิงเส้นพื้นฐาน (ELEMENTARY DIFFERENTIAL EQUATIONS AND LINEAR ALGEBRA)  
  - **01076253** ความน่าจะเป็นและสถิติ (PROBABILITY AND STATISTICS)  
- **Engineering Core (18 credits):**  
  - **01076101** วิศวกรรมคอมพิวเตอร์เบื้องต้น (INTRODUCTION TO COMPUTER ENGINEERING)  
  - **01076103** พื้นฐานการเขียนโปรแกรมคอมพิวเตอร์ (PROGRAMMING FUNDAMENTAL)  
  - **01076107** วงจรไฟฟ้าและอิเล็กทรอนิกส์ (CIRCUITS AND ELECTRONICS)  
  - **01076011** ระบบปฏิบัติการ (OPERATING SYSTEMS)  
  - **01076012** โครงสร้างแบบดิสครีต (DISCRETE STRUCTURE)  

#### 2.2 **วิชาเฉพาะด้าน (Specialized Courses)** – **52 credits**
- **Compulsory Courses (43 credits):**  
  - **01076263** ระบบฐานข้อมูล (DATABASE SYSTEMS)  
  - **01076105** การเขียนโปรแกรมเชิงวัตถุ (OBJECT ORIENTED PROGRAMMING)  
  - **01076034** หลักการของกระบวนการพัฒนาซอฟต์แวร์ (PRINCIPLES OF SOFTWARE DEVELOPMENT PROCESS)  
  - **01076119** การพัฒนาโปรแกรมบนเว็บ (WEB APPLICATION DEVELOPMENT)  
  - **01076121** ทฤษฎีการคำนวณ (THEORY OF COMPUTATION)  
  - **01076116** เครือข่ายคอมพิวเตอร์ (COMPUTER NETWORKS)  
- **Compulsory Electives (9 credits):**  
  Choose at least one specialization track (e.g., Embedded Systems, Software Development, Infrastructure, etc.).  
  Example courses:  
  - **01076052** ระบบสมองกลฝังตัวแบบเรียลไทม์ (REAL-TIME EMBEDDED SYSTEMS)  
  - **01076053** อินเทอร์เน็ตในทุกสิ่งและระบบอัจฉริยะ (INTERNET OF THINGS AND SMART SYSTEMS)  
  - **01076035** กระบวนการพัฒนาซอฟต์แวร์เชิงปฏิบัติ (SOFTWARE DEVELOPMENT PROCESS IN PRACTICE)  
  - **01076036** การออกแบบประสบการณ์และส่วนติดต่อผู้ใช้ (USER EXPERIENCE AND USER INTERFACE DESIGN)  
  - **01076042** ความมั่นคงข้อมูลและคอมพิวเตอร์ (INFORMATION AND COMPUTER SECURITY)  
  - **01076043** สถาปัตยกรรมคลาวด์เบื้องต้น (INTRODUCTION TO CLOUD ARCHITECTURE)  

#### 2.3 **วิชาการศึกษาทางเลือก (Alternative Education)** – **6 credits**
Choose **one** of the following tracks:
1. **Practical Project Track:**  
   - **01076311** โครงงาน 1 (PROJECT 1)  
   - **01076312** โครงงาน 2 (PROJECT 2)  
2. **Co-op Education:**  
   - **01006029** สหกิจศึกษา (CO-OPERATIVE EDUCATION)  
3. **Overseas Training:**  
   - **01006005** การปฏิบัติการฝึกงานต่างประเทศ (OVERSEA TRAINING)  

#### 2.4 **วิชาเลือกเฉพาะสาขา (Specialized Electives)** – **12 credits**
Choose courses from the following list (minimum 12 credits):  
- **01076411** การพัฒนาหุ่นยนต์ขนาดเล็ก (MICRO ROBOT DEVELOPMENT)  
- **01076513** การสร้างคอมไพเลอร์ (COMPILER CONSTRUCTION)  
- **01076574** ดาต้าแวร์เฮาส์ (DATA WAREHOUSE)  
- **01076585** เหมืองข้อมูล (DATA MINING)  
- **01076634** สถาปัตยกรรมข้อมูลขนาดใหญ่ (BIG DATA ARCHITECTURE)  
- **01076567** การประมวลผลภาพ (IMAGE PROCESSING)  
- **01076532** การเรียนรู้ของเครื่อง (MACHINE LEARNING)  
- **01076582** ปัญญาประดิษฐ์ (ARTIFICIAL INTELLIGENCE)  
- **01076629** การทดสอบเจาะระบบและการแฮกแบบมีจริยธรรมเบื้องต้น (BASIC PENETRATION TESTING AND ETHICAL HACKING)  

### 3. **หมวดวิชาเลือกเสรี (Free Electives)** – **6 credits**
- Students may choose any course offered at KMITL, totaling **at least 6 credits**.

---

✅ **Summary Table:**

| Category | Credits | Subcategories |
|--------|--------|----------------|
| **General Education** | 30 | Basic, Language & Communication, Faculty, Elective |
| **Core & Specialized** | 100 | Core (Math & Eng), Specialized (Compulsory & Elective), Alternative Education, Specialized Electives |
| **Free Electives** | 6 | Any course at KMITL |

> 📌 **Note:** This structure covers only the **credit distribution**. For full graduation requirements (e.g., minimum GPA, final exam, thesis, etc.), please consult the official **KMITL academic regulations** or contact your department.  
>  
> If you need help selecting courses or planning your study plan, feel free to ask! 😊","[{""content"": ""# โครงสร้างหลักสูตรและเงื่อนไขการสำเร็จการศึกษา (Curriculum Structure & Graduation Requirements)\n\nในการเรียนจบหลักสูตร นักศึกษาจะต้องเรียนและเก็บสะสมหน่วยกิตให้ครบถ้วนตลอดหลักสูตรจำนวนรวมทั้งสิ้น **136 หน่วยกิต** โดยมีโครงสร้างการจำแนกหมวดวิชาและจำนวนหน่วยกิต ดังนี้:\n\n## 1. หมวดวิชาศึกษาทั่วไป (30 หน่วยกิต)\n* **วิชาพื้นฐาน:** 6 หน่วยกิต\n* **วิชาด้านภาษาและการสื่อสาร:** 9 หน่วยกิต\n* **วิชาตามเกณฑ์ของคณะ:** 9 หน่วยกิต\n* **วิชาเลือก:** 6 หน่วยกิต\n\n## 2. หมวดวิชาเฉพาะ (100 หน่วยกิต)\nหมวดวิชาเฉพาะแบ่งออกเป็นกลุ่มย่อย ดังนี้:\n\n### 2.1 วิชาแกน (30 หน่วยกิต)\n* **วิชาแกนทางคณิตศาสตร์ (12 หน่วยกิต):** ตัวอย่างรายวิชา เช่น \n  * 01076140 แคลคูลัส 1 (CALCULUS 1)\n  * 01076141 แคลคูลัส 2 (CALCULUS 2)\n  * 01076032 สมการอนุพันธ์และพีชคณิตเชิงเส้นพื้นฐาน (ELEMENTARY DIFFERENTIAL EQUATIONS AND LINEAR ALGEBRA)\n  * 01076253 ความน่าจะเป็นและสถิติ (PROBABILITY AND STATISTICS)\n* **วิชาแกนทางวิศวกรรม (18 หน่วยกิต):** ตัวอย่างรายวิชา เช่น \n  * 01076101 วิศวกรรมคอมพิวเตอร์เบื้องต้น (INTRODUCTION TO COMPUTER ENGINEERING)\n  * 01076103 พื้นฐานการเขียนโปรแกรมคอมพิวเตอร์ (PROGRAMMING FUNDAMENTAL)\n  * 01076107 วงจรไฟฟ้าและอิเล็กทรอนิกส์ (CIRCUITS AND ELECTRONICS)\n  * 01076011 ระบบปฏิบัติการ (OPERATING SYSTEMS)\n  * 01076012 โครงสร้างแบบดิสครีต (DISCRETE STRUCTURE)\n\n### 2.2 วิชาเฉพาะด้าน (52 หน่วยกิต)\n* **วิชาบังคับ (43 หน่วยกิต):** ตัวอย่างรายวิชา เช่น \n  * 01076263 ระบบฐานข้อมูล (DATABASE SYSTEMS)\n  * 01076105 การเขียนโปรแกรมเชิงวัตถุ (OBJECT ORIENTED PROGRAMMING)\n  * 01076034 หลักการของกระบวนการพัฒนาซอฟต์แวร์ (PRINCIPLES OF SOFTWARE DEVELOPMENT PROCESS)\n  * 01076119 การพัฒนาโปรแกรมบนเว็บ (WEB APPLICATION DEVELOPMENT)\n  * 01076121 ทฤษฎีการคำนวณ (THEORY OF COMPUTATION)\n  * 01076116 เครือข่ายคอมพิวเตอร์ (COMPUTER NETWORKS)\n* **วิชาบังคับเลือก (9 หน่วยกิต):** เลือกเรียนอย่างน้อย 1 แขนงวิชาชีพ ตัวอย่างรายวิชาตามแขนง เช่น\n  * แขนงสมองกลฝังตัวฯ: 01076052 ระบบสมองกลฝังตัวแบบเรียลไทม์ (REAL-TIME EMBEDDED SYSTEMS), 01076053 อินเทอร์เน็ตในทุกสิ่งและระบบอัจฉริยะ (INTERNET OF THINGS AND SMART SYSTEMS)\n  * แขนงการพัฒนาซอฟต์แวร์: 01076035 กระบวนการพัฒนาซอฟต์แวร์เชิงปฏิบัติ (SOFTWARE DEVELOPMENT PROCESS IN PRACTICE), 01076036 การออกแบบประสบการณ์และส่วนติดต่อผู้ใช้ (USER EXPERIENCE AND USER INTERFACE DESIGN)\n  * แขนงโครงสร้างพื้นฐานฯ: 01076042 ความมั่นคงข้อมูลและคอมพิวเตอร์ (INFORMATION AND COMPUTER SECURITY), 01076043 สถาปัตยกรรมคลาวด์เบื้องต้น (INTRODUCTION TO CLOUD ARCHITECTURE)\n\n### 2.3 วิชาการศึกษาทางเลือก (6 หน่วยกิต)\nเลือกเรียนแนวทางใดแนวทางหนึ่ง (1 แนวทาง จำนวน 6 หน่วยกิต) ได้แก่:\n1. การศึกษาเชิงปฏิบัติการ: 01076311 โครงงาน 1 (PROJECT 1) และ 01076312 โครงงาน 2 (PROJECT 2)\n2. สหกิจศึกษา: 01006029 สหกิจศึกษา (CO-OPERATIVE EDUCATION)\n3. การปฏิบัติการฝึกงานต่างประเทศ: 01006005 การปฏิบัติการฝึกงานต่างประเทศ (OVERSEA TRAINING)\n\n### 2.4 วิชาเลือกเฉพาะสาขา (12 หน่วยกิต)\nเลือกลงทะเบียนรวมไม่น้อยกว่า 12 หน่วยกิต ตัวอย่างรายวิชา เช่น:\n* 01076411 การพัฒนาหุ่นยนต์ขนาดเล็ก (MICRO ROBOT DEVELOPMENT)\n* 01076513 การสร้างคอมไพเลอร์ (COMPILER CONSTRUCTION)\n* 01076574 ดาต้าแวร์เฮาส์ (DATA WAREHOUSE)\n* 01076585 เหมืองข้อมูล (DATA MINING)\n* 01076634 สถาปัตยกรรมข้อมูลขนาดใหญ่ (BIG DATA ARCHITECTURE)\n* 01076567 การประมวลผลภาพ (IMAGE PROCESSING)\n* 01076532 การเรียนรู้ของเครื่อง (MACHINE LEARNING)\n* 01076582 ปัญญาประดิษฐ์ (ARTIFICIAL INTELLIGENCE)\n* 01076629 การทดสอบเจาะระบบและการแฮกแบบมีจริยธรรมเบื้องต้น (BASIC PENETRATION TESTING AND ETHICAL HACKING)\n\n## 3. หมวดวิชาเลือกเสรี (6 หน่วยกิต)\nนักศึกษาสามารถเลือกเรียนรายวิชาในสถาบันฯ จำนวนไม่น้อยกว่า 6 หน่วยกิต\n\n---\n## ความหมายของรหัสประจำรายวิชา\nรหัสวิชาประกอบด้วยตัวเลข 8 หลัก ดังนี้:\n* หลักที่ 1, 2: 01 หมายถึง คณะวิศวกรรมศาสตร์ / 90 หมายถึง หมวดวิชาศึกษาทั่วไป\n* หลักที่ 3, 4: 07 หมายถึง วิชาในสาขาวิศวกรรมคอมพิวเตอร์\n* หลักที่ 5: 6 หมายถึง หลักสูตรในระดับปริญญาตรี\n* หลักที่ 6, 7, 8: หมายถึง ลำดับที่ของวิชา"", ""metadata"": {""chunk_index"": 0, ""text"": ""# โครงสร้างหลักสูตรและเงื่อนไขการสำเร็จการศึกษา (Curriculum Structure & Graduation Requirements)\n\nในการเรียนจบหลักสูตร นักศึกษาจะต้องเรียนและเก็บสะสมหน่วยกิตให้ครบถ้วนตลอดหลักสูตรจำนวนรวมทั้งสิ้น **136 หน่วยกิต** โดยมีโครงสร้างการจำแนกหมวดวิชาและจำนวนหน่วยกิต ดังนี้:\n\n## 1. หมวดวิชาศึกษาทั่วไป (30 หน่วยกิต)\n* **วิชาพื้นฐาน:** 6 หน่วยกิต\n* **วิชาด้านภาษาและการสื่อสาร:** 9 หน่วยกิต\n* **วิชาตามเกณฑ์ของคณะ:** 9 หน่วยกิต\n* **วิชาเลือก:** 6 หน่วยกิต\n\n## 2. หมวดวิชาเฉพาะ (100 หน่วยกิต)\nหมวดวิชาเฉพาะแบ่งออกเป็นกลุ่มย่อย ดังนี้:\n\n### 2.1 วิชาแกน (30 หน่วยกิต)\n* **วิชาแกนทางคณิตศาสตร์ (12 หน่วยกิต):** ตัวอย่างรายวิชา เช่น \n  * 01076140 แคลคูลัส 1 (CALCULUS 1)\n  * 01076141 แคลคูลัส 2 (CALCULUS 2)\n  * 01076032 สมการอนุพันธ์และพีชคณิตเชิงเส้นพื้นฐาน (ELEMENTARY DIFFERENTIAL EQUATIONS AND LINEAR ALGEBRA)\n  * 01076253 ความน่าจะเป็นและสถิติ (PROBABILITY AND STATISTICS)\n* **วิชาแกนทางวิศวกรรม (18 หน่วยกิต):** ตัวอย่างรายวิชา เช่น \n  * 01076101 วิศวกรรมคอมพิวเตอร์เบื้องต้น (INTRODUCTION TO COMPUTER ENGINEERING)\n  * 01076103 พื้นฐานการเขียนโปรแกรมคอมพิวเตอร์ (PROGRAMMING FUNDAMENTAL)\n  * 01076107 วงจรไฟฟ้าและอิเล็กทรอนิกส์ (CIRCUITS AND ELECTRONICS)\n  * 01076011 ระบบปฏิบัติการ (OPERATING SYSTEMS)\n  * 01076012 โครงสร้างแบบดิสครีต (DISCRETE STRUCTURE)\n\n### 2.2 วิชาเฉพาะด้าน (52 หน่วยกิต)\n* **วิชาบังคับ (43 หน่วยกิต):** ตัวอย่างรายวิชา เช่น \n  * 01076263 ระบบฐานข้อมูล (DATABASE SYSTEMS)\n  * 01076105 การเขียนโปรแกรมเชิงวัตถุ (OBJECT ORIENTED PROGRAMMING)\n  * 01076034 หลักการของกระบวนการพัฒนาซอฟต์แวร์ (PRINCIPLES OF SOFTWARE DEVELOPMENT PROCESS)\n  * 01076119 การพัฒนาโปรแกรมบนเว็บ (WEB APPLICATION DEVELOPMENT)\n  * 01076121 ทฤษฎีการคำนวณ (THEORY OF COMPUTATION)\n  * 01076116 เครือข่ายคอมพิวเตอร์ (COMPUTER NETWORKS)\n* **วิชาบังคับเลือก (9 หน่วยกิต):** เลือกเรียนอย่างน้อย 1 แขนงวิชาชีพ ตัวอย่างรายวิชาตามแขนง เช่น\n  * แขนงสมองกลฝังตัวฯ: 01076052 ระบบสมองกลฝังตัวแบบเรียลไทม์ (REAL-TIME EMBEDDED SYSTEMS), 01076053 อินเทอร์เน็ตในทุกสิ่งและระบบอัจฉริยะ (INTERNET OF THINGS AND SMART SYSTEMS)\n  * แขนงการพัฒนาซอฟต์แวร์: 01076035 กระบวนการพัฒนาซอฟต์แวร์เชิงปฏิบัติ (SOFTWARE DEVELOPMENT PROCESS IN PRACTICE), 01076036 การออกแบบประสบการณ์และส่วนติดต่อผู้ใช้ (USER EXPERIENCE AND USER INTERFACE DESIGN)\n  * แขนงโครงสร้างพื้นฐานฯ: 01076042 ความมั่นคงข้อมูลและคอมพิวเตอร์ (INFORMATION AND COMPUTER SECURITY), 01076043 สถาปัตยกรรมคลาวด์เบื้องต้น (INTRODUCTION TO CLOUD ARCHITECTURE)\n\n### 2.3 วิชาการศึกษาทางเลือก (6 หน่วยกิต)\nเลือกเรียนแนวทางใดแนวทางหนึ่ง (1 แนวทาง จำนวน 6 หน่วยกิต) ได้แก่:\n1. การศึกษาเชิงปฏิบัติการ: 01076311 โครงงาน 1 (PROJECT 1) และ 01076312 โครงงาน 2 (PROJECT 2)\n2. สหกิจศึกษา: 01006029 สหกิจศึกษา (CO-OPERATIVE EDUCATION)\n3. การปฏิบัติการฝึกงานต่างประเทศ: 01006005 การปฏิบัติการฝึกงานต่างประเทศ (OVERSEA TRAINING)\n\n### 2.4 วิชาเลือกเฉพาะสาขา (12 หน่วยกิต)\nเลือกลงทะเบียนรวมไม่น้อยกว่า 12 หน่วยกิต ตัวอย่างรายวิชา เช่น:\n* 01076411 การพัฒนาหุ่นยนต์ขนาดเล็ก (MICRO ROBOT DEVELOPMENT)\n* 01076513 การสร้างคอมไพเลอร์ (COMPILER CONSTRUCTION)\n* 01076574 ดาต้าแวร์เฮาส์ (DATA WAREHOUSE)\n* 01076585 เหมืองข้อมูล (DATA MINING)\n* 01076634 สถาปัตยกรรมข้อมูลขนาดใหญ่ (BIG DATA ARCHITECTURE)\n* 01076567 การประมวลผลภาพ (IMAGE PROCESSING)\n* 01076532 การเรียนรู้ของเครื่อง (MACHINE LEARNING)\n* 01076582 ปัญญาประดิษฐ์ (ARTIFICIAL INTELLIGENCE)\n* 01076629 การทดสอบเจาะระบบและการแฮกแบบมีจริยธรรมเบื้องต้น (BASIC PENETRATION TESTING AND ETHICAL HACKING)\n\n## 3. หมวดวิชาเลือกเสรี (6 หน่วยกิต)\nนักศึกษาสามารถเลือกเรียนรายวิชาในสถาบันฯ จำนวนไม่น้อยกว่า 6 หน่วยกิต\n\n---\n## ความหมายของรหัสประจำรายวิชา\nรหัสวิชาประกอบด้วยตัวเลข 8 หลัก ดังนี้:\n* หลักที่ 1, 2: 01 หมายถึง คณะวิศวกรรมศาสตร์ / 90 หมายถึง หมวดวิชาศึกษาทั่วไป\n* หลักที่ 3, 4: 07 หมายถึง วิชาในสาขาวิศวกรรมคอมพิวเตอร์\n* หลักที่ 5: 6 หมายถึง หลักสูตรในระดับปริญญาตรี\n* หลักที่ 6, 7, 8: หมายถึง ลำดับที่ของวิชา"", ""data_type"": ""curriculum"", ""source"": ""curriculum-structure.md"", ""document_id"": ""74add144-42aa-4702-bd70-b6e4de1eb430"", ""filename"": ""curriculum-structure.md""}, ""similarity_score"": 0.53736407, ""rerank_score"": 0.9769958853721619, ""chunk_id"": ""ocr_document_74add144-42aa-4702-bd70-b6e4de1eb430_0_0"", ""original_index"": -1}, {""content"": ""อบเจาะระบบและการแฮกแบบมีจริยธรรมเบื้องต้น (BASIC PENETRATION TESTING AND ETHICAL HACKING)\n\n## 3. หมวดวิชาเลือกเสรี (6 หน่วยกิต)\nนักศึกษาสามารถเลือกเรียนรายวิชาในสถาบันฯ จำนวนไม่น้อยกว่า 6 หน่วยกิต\n\n---\n## ความหมายของรหัสประจำรายวิชา\nรหัสวิชาประกอบด้วยตัวเลข 8 หลัก ดังนี้:\n* หลักที่ 1, 2: 01 หมายถึง คณะวิศวกรรมศาสตร์ / 90 หมายถึง หมวดวิชาศึกษาทั่วไป\n* หลักที่ 3, 4: 07 หมายถึง วิชาในสาขาวิศวกรรมคอมพิวเตอร์\n* หลักที่ 5: 6 หมายถึง หลักสูตรในระดับปริญญาตรี\n* หลักที่ 6, 7, 8: หมายถึง ลำดับที่ของวิชา\n\n---\n**หมายเหตุสำคัญสำหรับการสำเร็จการศึกษา (Graduation Note):** ข้อมูลข้างต้นระบุเฉพาะเงื่อนไขด้าน \""โครงสร้างหน่วยกิตและรายวิชา\"" ที่ต้องเรียนให้ครบตามหลักสูตรเท่านั้น ข้อมูลนี้ยังไม่ได้รวมถึงเกณฑ์การสำเร็จการศึกษาอื่นๆ ของทางสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง เช่น เกรดเฉลี่ยสะสมขั้นต่ำ หรือการสอบวัดระดับต่างๆ หากต้องการทราบเงื่อนไขที่สมบูรณ์ โปรดตรวจสอบระเบียบการเพิ่มเติม"", ""metadata"": {""chunk_index"": 1, ""text"": ""อบเจาะระบบและการแฮกแบบมีจริยธรรมเบื้องต้น (BASIC PENETRATION TESTING AND ETHICAL HACKING)\n\n## 3. หมวดวิชาเลือกเสรี (6 หน่วยกิต)\nนักศึกษาสามารถเลือกเรียนรายวิชาในสถาบันฯ จำนวนไม่น้อยกว่า 6 หน่วยกิต\n\n---\n## ความหมายของรหัสประจำรายวิชา\nรหัสวิชาประกอบด้วยตัวเลข 8 หลัก ดังนี้:\n* หลักที่ 1, 2: 01 หมายถึง คณะวิศวกรรมศาสตร์ / 90 หมายถึง หมวดวิชาศึกษาทั่วไป\n* หลักที่ 3, 4: 07 หมายถึง วิชาในสาขาวิศวกรรมคอมพิวเตอร์\n* หลักที่ 5: 6 หมายถึง หลักสูตรในระดับปริญญาตรี\n* หลักที่ 6, 7, 8: หมายถึง ลำดับที่ของวิชา\n\n---\n**หมายเหตุสำคัญสำหรับการสำเร็จการศึกษา (Graduation Note):** ข้อมูลข้างต้นระบุเฉพาะเงื่อนไขด้าน \""โครงสร้างหน่วยกิตและรายวิชา\"" ที่ต้องเรียนให้ครบตามหลักสูตรเท่านั้น ข้อมูลนี้ยังไม่ได้รวมถึงเกณฑ์การสำเร็จการศึกษาอื่นๆ ของทางสถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง เช่น เกรดเฉลี่ยสะสมขั้นต่ำ หรือการสอบวัดระดับต่างๆ หากต้องการทราบเงื่อนไขที่สมบูรณ์ โปรดตรวจสอบระเบียบการเพิ่มเติม"", ""data_type"": ""curriculum"", ""source"": ""curriculum-structure.md"", ""document_id"": ""74add144-42aa-4702-bd70-b6e4de1eb430"", ""filename"": ""curriculum-structure.md""}, ""similarity_score"": 0.4585623, ""rerank_score"": 0.687056839466095, ""chunk_id"": ""ocr_document_74add144-42aa-4702-bd70-b6e4de1eb430_1_1"", ""original_index"": -1}]"
curriculum-ge-vs-free-elective,Compare the credit requirements for the 'General Education' category versus the 'Free Elective' category. Are there specific constraints on which courses qualify for each?,4.581,8.688,4.107,"The **General Education** category requires **30 credits**, while the **Free Elective** category requires **6 credits**.

Here’s a clear comparison based on the curriculum:

### 📊 **Comparison: General Education vs. Free Electives**

| Feature | **General Education (หมวดวิชาศึกษาทั่วไป)** | **Free Electives (หมวดวิชาเลือกเสรี)** |
|--------|------------------------------------------|----------------------------------|
| **Total Credits Required** | 30 credits | 6 credits |
| **Course Restrictions** | Yes – must follow specific subcategories: <br>• 6 credits in Basic Courses <br>• 9 credits in Language & Communication <br>• 9 credits in Faculty Requirements <br>• 6 credits in Elective courses (within the faculty’s approved list) | No – students may choose **any course offered at KMITL**, regardless of department or field |
| **Flexibility** | Limited – courses must align with the structured subcategories | High – open to any course across the university |
| **Examples of Eligible Courses** | Courses in Thai language, English communication, humanities, social sciences, and other faculty-approved general courses | Any course in any faculty (e.g., business, design, engineering, etc.) |

> ✅ **Key Takeaway:**  
> - **General Education** has strict credit distribution rules and must be fulfilled within defined categories.  
> - **Free Electives** offer full flexibility — you can pick any course you like, as long as it’s offered at KMITL and meets the 6-credit minimum.

If you're planning your course selection, I recommend prioritizing General Education courses early in your academic journey to ensure you meet all subcategory requirements on time. For Free Electives, you can use them to explore interests outside your major or fulfill minor requirements.

Let me know if you’d like help selecting specific courses for either category! 😊","[{""content"": ""01076114 COMPUTER ORGANIZATION AND ARCHITECTURE PREREQUISITE: 01076112 DIGITAL SYSTEM FUNDAMENTALS Overview of Computer Architecture and Organization; Data Representation, Memory Allocation and Access; Central Processing Unit; Assembly Programming and Instruction Set Architecture. High -level Software to Low -level Instructions; Memory Hierarchy; Data Transfer and InputOutput (IO) Techniques; Computer Arithmetic; Measuring system performance; Towards higher speed."", ""metadata"": {""course_name"": ""COMPUTER ORGANIZATION AND ARCHITECTURE"", ""course_code"": ""01076114"", ""language"": ""en"", ""focus_areas"": [""Computer Science Fundamentals"", ""Hardware & Embedded Systems"", ""Software Engineering & Development""], ""career_tracks"": [""Hardware & Embedded Systems"", ""Software Development & Engineering""], ""data_type"": ""course""}, ""similarity_score"": 0.42020875, ""rerank_score"": 0.05164719372987747, ""chunk_id"": ""course_036"", ""original_index"": 35}, {""content"": ""01006029 COOPERATIVE EDUCATION PREREQUISITE: NONE The students participate in the cooperative work with industrial partners at least 16 weeks. Approval and evaluation by the department committee is required."", ""metadata"": {""course_name"": ""COOPERATIVE EDUCATION"", ""course_code"": ""01006029"", ""language"": ""en"", ""focus_areas"": [""Specialized/Applied Practice""], ""career_tracks"": [""AI & Data Science"", ""Cybersecurity & Privacy"", ""Hardware & Embedded Systems"", ""Research & Academia"", ""Software Development & Engineering"", ""Systems & Cloud Infrastructure""], ""data_type"": ""course""}, ""similarity_score"": 0.4315489, ""rerank_score"": 0.022306829690933228, ""chunk_id"": ""course_086"", ""original_index"": 85}, {""content"": ""01076596 SYSTEM REQUIREMENTS ENGINEERING PREREQUISITE: 01076034 PRINCIPLES OF SOFTWARE DEVELOPMENT PROCESS Introduction to requirements engineering techniques for software- intensive systems. Requirements Modeling. Requirements Elicitation. Software Requirements Specification (SRS) document. Requirements Representation (Formal and Informal). Requirements Validation"", ""metadata"": {""course_name"": ""SYSTEM REQUIREMENTS ENGINEERING"", ""course_code"": ""01076034"", ""language"": ""en"", ""focus_areas"": [""Networks & Security"", ""Software Engineering & Development""], ""career_tracks"": [""Cybersecurity & Privacy"", ""Software Development & Engineering"", ""Systems & Cloud Infrastructure""], ""data_type"": ""course""}, ""similarity_score"": 0.4167834, ""rerank_score"": 0.024092897772789, ""chunk_id"": ""course_110"", ""original_index"": 109}, {""content"": ""01076414 INTRODUCTION TO AUTONOMOUS VEHICLE PREREQUISITE: 01076112 DIGITAL SYSTEM FUNDAMENTALS Introduction to Autonomy; Hardware and Software Architecture; Visual Perception; State Estimation and Localization; Motion Planning; Machine Learning for Autonomous Vehicle"", ""metadata"": {""course_name"": ""INTRODUCTION TO AUTONOMOUS VEHICLE"", ""course_code"": ""01076414"", ""language"": ""en"", ""focus_areas"": [""AI, Data & Intelligent Systems"", ""Hardware & Embedded Systems"", ""Networks & Security"", ""Software Engineering & Development""], ""career_tracks"": [""AI & Data Science"", ""Cybersecurity & Privacy"", ""Hardware & Embedded Systems"", ""Research & Academia"", ""Software Development & Engineering"", ""Systems & Cloud Infrastructure""], ""data_type"": ""course""}, ""similarity_score"": 0.42313504, ""rerank_score"": 0.011755691841244698, ""chunk_id"": ""course_098"", ""original_index"": 97}, {""content"": ""01006005 OVERSEA TRAINING PREREQUISITE: NONE Students enroll in the oversea training course to train and conduct special projects relating to their academic background. The training may occur in an institute or an industry that can be either public or private. Any related issue should conform to the proclamation from the Faculty of Engineering."", ""metadata"": {""course_name"": ""OVERSEA TRAINING"", ""course_code"": ""01006005"", ""language"": ""en"", ""focus_areas"": [""Specialized/Applied Practice""], ""career_tracks"": [""AI & Data Science"", ""Cybersecurity & Privacy"", ""Hardware & Embedded Systems"", ""Research & Academia"", ""Software Development & Engineering"", ""Systems & Cloud Infrastructure""], ""data_type"": ""course""}, ""similarity_score"": 0.4260176, ""rerank_score"": 0.002432913053780794, ""chunk_id"": ""course_088"", ""original_index"": 87}]"
